su ha sa di an || F1 - F21
----------------------------
0.1325 0.4175 0.4500 0.2500 0.2000 || 33 80 35 76 25 57 28 54 23 70 46 93 298 268.5 111.5 56 56.5 184.5 296 128.25 239.75 
0.1325 0.5000 0.4175 0.2175 0.2500 || 34 80 35 76 25 57 28 56 23 70 46 93 298 269.5 111.5 55.5 56.5 184.25 295.75 128.25 239.75 
0.1675 0.4175 0.4325 0.3500 0.3000 || 34 80 33 76 27 60 28 59 23 70 42 91 298 269.5 109.5 56.5 57.5 184.75 294.25 127.75 237.25 
0.0675 0.9175 0.0325 0.0325 0.0325 || 34 76 36 78 22 63 18 68 23 82 63 136 301 272.5 120 54 51 184 304 131.5 251.5 
0.0325 0.8825 0.0500 0.0000 0.0000 || 36 83 38 80 19 63 20 68 23 82 59 136 298.5 272.5 118 51.5 51 183 301 131.75 249.75 
0.0325 0.7675 0.0175 0.0325 0.0000 || 36 83 38 80 21 64 22 68 23 81 54 127 298.5 272 115.5 52.5 52 183 298.5 130.75 246.25 
0.0325 0.9675 0.0000 0.0000 0.0000 || 39 80 38 80 15 64 15 68 23 81 72 147 300 272 124.5 48 48.5 182.25 306.75 134 258.5 
0.1500 0.1175 0.6675 0.4500 0.3175 || 28 82 30 81 20 65 22 64 22 76 43 85 299.5 269.5 110.5 56 56 186.5 297 130.5 241 
0.1825 0.0175 0.6675 0.5825 0.4175 || 28 83 28 81 20 65 22 64 21 74 43 75 299 269.5 111 56 57 186.5 297.5 130 241 
0.1825 0.0825 0.8000 0.5825 0.4000 || 25 85 28 84 21 65 22 64 21 74 37 90 299.5 269.5 108 58 57 187.25 295.25 129.75 237.75 
0.1325 0.1325 0.6675 0.7675 0.3500 || 35 85 28 88 20 65 22 64 21 78 45 90 301.5 269.5 112 52.5 57 184.75 296.75 130 242 
0.9500 0.2325 0.1500 0.1175 0.1175 || 39 77 41 75 32 61 32 59 27 73 100 94 299 269 136.5 56.5 55.5 183.5 320 127.5 264 
0.9825 0.5325 0.1175 0.1000 0.1175 || 39 77 41 75 32 61 32 61 27 73 100 94 299 270 136.5 56.5 55.5 183.5 320 127.5 264 
0.9500 0.4675 0.1825 0.1175 0.1000 || 39 77 41 75 32 61 32 61 28 73 104 94 299 270 138 56.5 55.5 184 322 128 266 
0.1325 0.1675 0.3000 0.6500 0.8175 || 22 83 24 79 21 61 23 61 23 74 49 78 298 270 113 59.5 59.5 190 303 130.5 243.5 
0.0825 0.1175 0.4000 0.7500 0.7825 || 22 83 24 79 18 61 20 61 23 74 49 82 298 270 113 58 58 190 303 132 245 
0.1000 0.0675 0.4000 0.7175 0.8500 || 22 83 24 79 18 61 20 61 23 74 42 89 298 270 109.5 58 58 190 299.5 132 241.5 
0.1325 0.1175 0.1825 0.9325 0.7825 || 24 78 21 88 16 59 15 63 23 74 61 86 305 272 119 56 57 190.25 309.25 133.75 252.75 
0.2675 0.1175 0.2175 0.9175 0.6825 || 24 78 21 88 15 59 12 63 23 74 61 81 305 272 119 55.5 55.5 190.25 309.25 134.75 253.75 
0.2325 0.4825 0.3325 0.2500 0.2825 || 22 86 20 83 29 65 31 63 20 69 38 109 298.5 269 109 63.5 65.5 189.5 298.5 125 234 
0.1825 0.3825 0.2000 0.1500 0.1500 || 22 86 20 83 33 65 33 63 20 74 37 109 298.5 269 108.5 65.5 66.5 189.5 298 123.5 232 
0.2150 0.3400 0.1975 0.1250 0.1600 || 26 86 27 80 33 65 33 63 20 74 37 107 297 269 108.5 63.5 63 186.75 295.25 123.5 232 
0.3825 0.9000 0.1325 0.0825 0.0500 || 31 84 34 78 29 65 29 63 23 80 53 117 297 269 115 59 57.5 185.25 300.25 127 242 
0.2675 0.8500 0.1325 0.0825 0.0825 || 31 88 34 78 30 68 31 65 23 82 56 117 295 268.5 116.5 59.5 58.5 185.25 301.75 126.25 242.75 
0.3175 0.8325 0.2500 0.1325 0.1000 || 35 90 38 82 32 72 33 66 22 82 50 122 296 267 114 58.5 57.5 182.75 296.75 124.75 238.75 
0.1000 0.6325 0.3000 0.0500 0.0500 || 35 93 40 83 32 72 33 66 20 75 48 113 295 267 114 58.5 56.5 181.25 295.25 123.75 237.75 
0.2500 0.0675 0.7000 0.4825 0.1825 || 19 93 26 86 26 70 29 66 20 74 42 99 296.5 268 111 63.5 61.5 188.75 299.75 126.25 237.25 
0.2000 0.0675 0.8000 0.3325 0.2675 || 26 93 34 81 30 71 29 66 17 74 38 111 294 267.5 110.5 62 57.5 183.5 294 123.75 234.25 
0.1825 0.0825 0.6500 0.5000 0.2675 || 28 98 37 83 30 71 30 66 20 76 35 106 292.5 267.5 107.5 61 56.5 183.75 291.25 125 232.5 
0.9000 0.4175 0.1500 0.0675 0.0825 || 42 98 41 78 38 71 36 63 25 78 38 110 290 266 106.5 58 57.5 181.75 288.25 124 230.5 
0.8825 0.4500 0.1675 0.1675 0.1675 || 34 93 34 74 36 65 35 65 22 69 48 99 290.5 270 113 61 60.5 184 297 123.25 236.25 
0.9175 0.6000 0.1825 0.1000 0.0900 || 43 93 44 79 36 65 38 65 26 71 71 90 293 270 122.5 56.5 57 181.25 303.75 124.5 247 
0.0675 0.2675 0.2325 0.6500 0.8000 || 33 92 27 81 23 64 24 67 22 77 39 99 294.5 271.5 108.5 55 58.5 186 294.5 129.25 237.75 
0.1675 0.2325 0.2825 0.7825 0.8675 || 34 97 27 85 23 74 24 65 20 70 37 96 294 265.5 108.5 54.5 58.5 184.75 293.25 128.25 236.75 
0.1175 0.0325 0.3000 0.9175 0.6825 || 28 97 26 85 23 74 26 63 21 77 43 107 294 264.5 111 57.5 60 187 298 128.25 239.25 
0.4000 0.1825 0.4675 0.8000 0.4825 || 22 97 26 85 22 69 28 60 20 76 43 105 294 265.5 111.5 60 61 188 299.5 127.5 239 
0.2325 0.1675 0.2675 0.8175 0.4500 || 22 97 29 85 23 69 28 62 20 76 43 105 294 266.5 111.5 60.5 59.5 187.25 298.75 127.25 238.75 
0.1325 0.0325 0.2675 0.8825 0.3675 || 25 97 27 81 23 72 28 62 23 73 40 109 292 265 108.5 59 60.5 188.5 297 128.75 237.25 
0.1500 0.5175 0.4825 0.3000 0.2825 || 38 89 35 86 23 72 26 70 24 80 37 108 298.5 269 106.5 52.5 55.5 183.75 290.25 129.75 236.25 
